,id,Popular_Sum,Date
1463,982826517443915776,15252,2018-04-08
1464,982830466913845250,15182,2018-04-08
1465,982848849361289222,3851,2018-04-08
1466,982849024083484673,861,2018-04-08
1467,982850314054205440,684,2018-04-08
1468,982864331338432513,540,2018-04-08
1469,982874182617722880,673,2018-04-08
1470,982878098663161856,1035,2018-04-08
1471,983159549116010496,20504,2018-04-09
1472,983207596298522626,23890,2018-04-09
1473,983438824452669440,3288,2018-04-09
1474,983621641262399489,1640,2018-04-10
1475,983775391851528192,1426,2018-04-10
1476,983863209491775488,635,2018-04-11
1477,984498847232622592,8164,2018-04-12
1478,984517995400650752,1388,2018-04-12
1479,984650518088658944,2910,2018-04-13
1480,984650810909851648,1565,2018-04-13
1481,984689905874817029,979,2018-04-13
1482,984700711425355777,654,2018-04-13
1483,984702246817431553,748,2018-04-13
1484,984705630106673152,20799,2018-04-13
1485,984882630947753984,49339,2018-04-13
1486,985343867108012032,16407,2018-04-15
1487,985344228665393152,2061,2018-04-15
1488,985345850946699264,3300,2018-04-15
1489,985361761271406594,25909,2018-04-15
1490,985654333860601856,90335,2018-04-15
1491,985655249745592320,120437,2018-04-15
1492,985668304353116161,2965,2018-04-15
1493,985684755877265408,79804,2018-04-16
1494,985731208846831618,1425,2018-04-16
1495,986070683426766848,829,2018-04-17
1496,986322814985584640,17581,2018-04-17
1497,986360329763307520,3763,2018-04-17
1498,986361795894919168,5759,2018-04-17
1499,986363212474925056,5584,2018-04-17
1500,986369127907393537,3423,2018-04-17
1501,986632708074827777,505,2018-04-18
1502,986632786659299328,3517,2018-04-18
1503,986641687081398272,9034,2018-04-18
1504,986738164478787584,1522,2018-04-18
1505,986746909153869824,198890,2018-04-18
1506,986850982138032128,4559,2018-04-19
1507,988209261565001728,7197,2018-04-23
1508,988214241797685248,488,2018-04-23
1509,988218070102519808,1189,2018-04-23
1510,988294892219654144,26992,2018-04-23
1511,988295060985806848,5421,2018-04-23
1512,989017019876966400,14587,2018-04-25
1513,989195682081730560,1544,2018-04-25
1514,989198118666162176,576140,2018-04-25
1515,989199502794936321,28925,2018-04-25
1516,989362154242428928,48179,2018-04-26
1517,989598167980163072,32001,2018-04-26
1518,989986716004958208,29985,2018-04-27
1519,990028017861705729,4168,2018-04-28
1520,990040963635597312,1447,2018-04-28
1521,990854677926297600,45608,2018-04-30
1522,991007702724689920,1985,2018-04-30
1523,991130075889205248,5586,2018-05-01
1524,991556953586503680,19357,2018-05-02
1525,991752018338304000,3310,2018-05-02
1526,991784449275670528,6784,2018-05-02
1527,991786023351869441,59720,2018-05-02
1528,991788131153215489,6122,2018-05-02
1529,991813680533684224,909,2018-05-02
1530,991944456466202624,11275,2018-05-03
1531,992333108346277888,6383,2018-05-04
1532,992337618091298816,10973,2018-05-04
1533,992341387613016064,873,2018-05-04
1534,992354361975042048,613,2018-05-04
1535,992361223793487872,43073,2018-05-04
1536,992362594961780742,11837,2018-05-04
1537,992362814353293312,4806,2018-05-04
1538,992367087761817600,10355,2018-05-04
1539,992372195304198144,11590,2018-05-04
1540,992374493132742656,20029,2018-05-04
1541,992378642830262272,1842,2018-05-04
1542,992381848104747008,974,2018-05-04
1543,992384341912137733,549,2018-05-04
1544,992388944774938626,48593,2018-05-04
1545,992391093688791050,1899,2018-05-04
1546,992391704333320192,2756,2018-05-04
1547,992511425753956352,13451,2018-05-04
1548,992556974263947264,13347,2018-05-05
1549,992558443872575489,6456,2018-05-05
1550,992558985218789376,1282,2018-05-05
1551,992870391847649280,656,2018-05-05
1552,992872154927542273,6996,2018-05-05
1553,992876606979952640,298365,2018-05-05
1554,992876773695082496,106759,2018-05-05
1555,992890073908572160,103732,2018-05-05
1556,992891529852108800,29312,2018-05-05
1557,992894802122366976,42830,2018-05-05
1558,992904076978540545,65128,2018-05-05
1559,992924525288308736,38251,2018-05-06
1560,992937572698472454,1886,2018-05-06
1561,992940263906553857,1437,2018-05-06
1562,992941109222391808,132541,2018-05-06
1563,992951528255250432,17551,2018-05-06
1564,992964829282418688,15848,2018-05-06
1565,992970026108907520,732,2018-05-06
1566,993546386518966275,31199,2018-05-07
1567,993572598381514753,17308,2018-05-07
1568,993575688778256385,4673,2018-05-07
1569,993593145064673281,17979,2018-05-07
1570,993667352888791040,545,2018-05-08
1571,993702782073962496,2239,2018-05-08
1572,993993468111241216,3551,2018-05-08
1573,993995967610290176,6301,2018-05-08
1574,994024101399293953,443,2018-05-09
1575,994025286260867074,1835,2018-05-09
1576,994055600232321024,27818,2018-05-09
1577,994095355351502848,2320,2018-05-09
1578,994265259421548544,18044,2018-05-09
1579,994266252779470849,6529,2018-05-09
1580,994267584764628992,1020,2018-05-09
1581,994269435077644289,708,2018-05-09
1582,994270544496226304,638,2018-05-09
1583,994279996725215232,498,2018-05-09
1584,994308016517271552,648,2018-05-09
1585,994335585316757504,2946,2018-05-09
1586,994359266617188352,6856,2018-05-09
1587,994381742646554625,15967,2018-05-10
1588,994413269241675776,3621,2018-05-10
1589,994460875208691717,4402,2018-05-10
1590,994468381897048069,5815,2018-05-10
1591,994521953754058752,874,2018-05-10
1592,994534079591665664,540,2018-05-10
1593,994534448442916864,4735,2018-05-10
1594,994535342739832832,983,2018-05-10
1595,994634863608152064,2560,2018-05-10
1596,994737453041729536,1743,2018-05-11
1597,994738852253155328,663,2018-05-11
1598,994739393859502082,3440,2018-05-11
1599,994759514082684928,34899,2018-05-11
1600,994760815361245184,6173,2018-05-11
1601,994762365882089472,3103,2018-05-11
1602,994977264864382976,1825,2018-05-11
1603,994980692160217088,2001,2018-05-11
1604,995021099518709760,579,2018-05-11
1605,995028864672788480,13919,2018-05-11
1606,995029619655954432,899,2018-05-11
1607,995033279731384320,17162,2018-05-11
1608,995033832796577792,2364,2018-05-11
1609,995050249327525888,1113,2018-05-11
1610,995054585973633024,3051,2018-05-11
1611,995061978140819456,1965,2018-05-11
1612,995065228403458048,1940,2018-05-11
1613,995066192938192897,1168,2018-05-11
1614,995067149302484992,621,2018-05-11
1615,995125446634188800,32808,2018-05-12
1616,995180203440680960,6868,2018-05-12
1617,995446819369844739,14531,2018-05-12
1618,995447960895864832,1097,2018-05-12
1619,995449059535015936,6276,2018-05-12
1620,995461033958424576,11853,2018-05-13
1621,995462943079723008,2098,2018-05-13
1622,995479302660505600,933,2018-05-13
1623,995820124656484352,62539,2018-05-14
1624,995820634125959168,4616,2018-05-14
1625,995822814291673090,9712,2018-05-14
1626,995823298888990720,6283,2018-05-14
1627,996102919811350528,25412,2018-05-14
1628,996112995636858880,5628,2018-05-14
1629,996121794246426625,763,2018-05-14
1630,996131586469842945,140277,2018-05-14
1631,996132429772410882,97744,2018-05-14
1632,996133894893129728,5188,2018-05-14
1633,996134672638754816,3176,2018-05-14
1634,996189963266936832,4963,2018-05-15
1635,996326803147927552,2972,2018-05-15
1636,996691566851801088,26483,2018-05-16
1637,996692386385293312,23354,2018-05-16
1638,996703690370105350,1178,2018-05-16
1639,996947581530849281,7313,2018-05-17
1640,997005264116105217,38082,2018-05-17
1641,997181669353209856,12989,2018-05-17
1642,997279007933546497,17070,2018-05-18
1643,997337626469281792,13761,2018-05-18
1644,997372686182449152,55905,2018-05-18
1645,997374361651703808,26609,2018-05-18
1646,997374648655396864,792,2018-05-18
1647,997376304927227904,24075,2018-05-18
1648,997379008974151681,19257,2018-05-18
1649,997379817472327680,725,2018-05-18
1650,997943053317849088,48200,2018-05-19
1651,998015873167208448,1688,2018-05-20
1652,998024272537829376,1174,2018-05-20
1653,998078587805745152,496,2018-05-20
1654,998079732389363714,541,2018-05-20
1655,998080381483077632,559,2018-05-20
1656,998082149356994560,65355,2018-05-20
1657,998082620427714560,1932,2018-05-20
1658,998083368066543616,1794,2018-05-20
1659,998084314200862720,46635,2018-05-20
1660,998085655958769665,28816,2018-05-20
1661,998085901069598720,16904,2018-05-20
1662,998086435692425216,932,2018-05-20
1663,998087743530913792,15886,2018-05-20
1664,998088849636016128,51075,2018-05-20
1665,998089449400516608,1742,2018-05-20
1666,998089603964747776,755,2018-05-20
1667,998089917065453568,1035,2018-05-20
1668,998090184288694272,573,2018-05-20
1669,998090360306810880,822,2018-05-20
1670,998091052580986880,1136,2018-05-20
1671,998091600541630464,1196,2018-05-20
1672,998124140090376192,1037,2018-05-20
1673,998124143685001217,443,2018-05-20
1674,998124236542656517,554,2018-05-20
1675,998369524599504896,665,2018-05-21
1676,998370453474312192,514,2018-05-21
1677,998372206588538880,532,2018-05-21
1678,998372753362173952,554,2018-05-21
1679,998400110156550144,1139,2018-05-21
1680,998401234070581248,900,2018-05-21
1681,998402168049848320,620,2018-05-21
1682,998403872942166017,12500,2018-05-21
1683,998405757434580997,489,2018-05-21
1684,998409778316496896,32358,2018-05-21
